"SE0001775511","Active Properties AB, B","2016-10-17",0.5,8000,"0"
"SE0003848613","Box Destilleri AB, B","2016-10-17",25,525,"0"
"SE0000201253","Dala Energi AB, A","2016-10-17",12.9,8500,"0"
"SE0005334703","Euroforest AB, B","2016-10-17",124,2992,"0"
"SE0000667750","Forsstrom High Frequency AB ","2016-10-17",6.2,600,"0"
"SE0001823352","Garpco AB, B","2016-10-17",148,78,"0"
"SE0007525316","Rasta Group AB","2016-10-17",8,500,"0"
"SE0000416570","SenseAir AB, B","2016-10-17",12.9,12000,"0"
"SE0000418550","Spiltan, Investment AB","2016-10-17",4600,695,"0"
"SE0001321761","Triona AB","2016-10-17",22,1000,"0"
